,Rank,Book Link,Title,Author,Genre,Language,Average Rating,Number of Ratings,Publication Date,Number of Pages,Currently Reading,Want to Read
586,587,https://www.goodreads.com/book/show/101147243-house-of-slaughter-vol-3,"House of Slaughter, Vol. 3: The Butcher's Return",James Tynion IV,Comics,English,3.76,705,"September 6, 2023",144,24,293
587,588,https://www.goodreads.com/book/show/62039317-gone-to-the-wolves,Gone to the Wolves,John Wray,Fiction,English,3.53,"1,031","May 2, 2023",400,122,"7,031"
588,588,https://www.goodreads.com/book/show/199334767-same-time-next-year,Same Time Next Year,Tessa Bailey,Romance,English,3.40,"86,575","December 1, 2023",144,10.5k,37.3k
589,590,https://www.goodreads.com/book/show/107525795-little-monsters-10,Little Monsters #10,Jeff Lemire,Comics,English,4.26,70,"February 8, 2023",26,4,46
590,591,https://www.goodreads.com/book/show/60741783-biting-the-hand,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
591,592,https://www.goodreads.com/book/show/62669265-how-to-survive-history,"How to Survive History: How to Outrun a Tyrannosaurus, Escape Pompeii, Get Off the Titanic, and Survive the Rest of History's Deadliest Catastrophes",Cody Cassidy,Nonfiction,English,4.04,"2,066","March 1, 2023",195,230,"7,320"
592,593,https://www.goodreads.com/book/show/62840053-court-of-greed-and-gold,Court of Greed and Gold,Eliza Raine,Fantasy,English,4.13,"15,538","March 2, 2023",308,"2,425",14.7k
593,594,https://www.goodreads.com/book/show/122494913-the-loner-s-prize,The Loner's Prize,Cassi Hart,Romance,English,3.85,504,"February 16, 2023",47,127,134
594,595,https://www.goodreads.com/book/show/86547617-once-upon-an-orc,Once Upon an Orc,Dani Wyatt,Fantasy,English,4.03,200,"February 27, 2023",140,86,153
595,596,https://www.goodreads.com/book/show/62593247-i-m-not-charlotte-lucas,I'm Not Charlotte Lucas,Kasey Stockton,Romance,English,3.86,"2,109","February 1, 2023",240,62,"1,990"
596,596,https://www.goodreads.com/book/show/61151449-under-fire,Under Fire,Lynn H. Blackburn,Christian Fiction,English,4.47,"1,152","March 7, 2023",350,61,"3,087"
597,596,https://www.goodreads.com/book/show/62814704-time-to-think,Time to Think: The Inside Story of the Collapse of the Tavistock's Gender Service for Children,Hannah Barnes,Nonfiction,English,4.39,"1,085","February 16, 2023",455,227,"2,599"
598,596,https://www.goodreads.com/book/show/62627505-unexpected,Unexpected: The Backstory of Finding Elizabeth Smart and Growing Up in the Culture of an American Religion,Chris Thomas,Nonfiction,English,3.85,307,"March 7, 2023",272,25,686
599,596,https://www.goodreads.com/book/show/61827548-just-as-you-are,Just as You Are,Camille Kellogg,Romance,English,3.74,"4,203","April 25, 2023",320,171,18k
600,596,https://www.goodreads.com/book/show/63946689-the-delicate-art-of-death,The Delicate Art of Death,Ryan McGinnis,Thriller,English,4.41,39,"March 1, 2023",107,15,205
601,596,https://www.goodreads.com/book/show/61686727-so-shall-you-reap,So Shall You Reap,Donna Leon,Mystery,English,4.07,"7,475","March 9, 2023",262,832,"4,560"
602,596,https://www.goodreads.com/book/show/60656846-an-american-story,An American Story,Kwame Alexander,Picture Books,English,4.63,"1,493","January 3, 2023",56,8,980
603,596,https://www.goodreads.com/book/show/61237136-sink,Sink: A Memoir,Joseph Earl Thomas,Memoir,English,3.69,"1,688","February 21, 2023",256,200,24.7k
604,596,https://www.goodreads.com/book/show/63930053-make-you-wish-you-were-dead,Make You Wish You Were Dead,Jaclin Marie,Romance,English,3.46,827,"February 1, 2023",Paperback,180,"5,118"
605,596,https://www.goodreads.com/book/show/61273785-the-longest-race,"The Longest Race: Inside the Secret World of Abuse, Doping, and Deception on Nike's Elite Running Team",Kara Goucher,Nonfiction,English,4.45,"12,805","March 14, 2023",288,445,10.6k
606,596,https://www.goodreads.com/book/show/59603394-thin-air,Thin Air,Kellie M. Parker,Mystery,English,3.50,"1,141","October 17, 2023",304,55,"6,960"
607,596,https://www.goodreads.com/book/show/64000639-bridge,Bridge,Lauren Beukes,Science Fiction,English,3.67,"2,283","August 8, 2023",432,263,19.2k
608,596,https://www.goodreads.com/book/show/60784635-son-of-the-poison-rose,Son of the Poison Rose,Jonathan Maberry,Fantasy,English,4.33,996,"January 10, 2023",704,106,"4,776"
609,596,https://www.goodreads.com/book/show/62215455-drinking-from-graveyard-wells,Drinking from Graveyard Wells: Stories,Yvette Lisa Ndlovu,Short Stories,English,4.38,348,"March 7, 2023",160,41,"4,681"
610,596,https://www.goodreads.com/book/show/61193963-the-diary-keepers,"The Diary Keepers: World War II in the Netherlands, as Written by the People Who Lived Through It",Nina Siegal,History,English,4.33,517,"February 21, 2023",544,175,"4,434"
611,596,https://www.goodreads.com/book/show/123454894-sherlock-holmes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
612,596,https://www.goodreads.com/book/show/63019897-the-best-summer-of-our-lives,The Best Summer of Our Lives,Rachel Hauck,Christian Fiction,English,3.90,"2,436","June 1, 2023",384,231,14.6k
613,596,https://www.goodreads.com/book/show/61047493-the-wicked-unseen,The Wicked Unseen,Gigi Griffis,Horror,English,3.73,"1,026","June 20, 2023",288,55,"7,296"
614,596,https://www.goodreads.com/book/show/63354882-the-engagement-party,The Engagement Party,Finley Turner,Thriller,English,3.42,"2,489","November 7, 2023",315,439,"8,958"
615,596,https://www.goodreads.com/book/show/113487804-knock-knock-open-wide,"Knock Knock, Open Wide",Neil Sharpson,Horror,English,3.99,"1,968","September 26, 2023",329,275,10.4k
616,596,https://www.goodreads.com/book/show/178827414-why-nepal-fails,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
617,596,https://www.goodreads.com/book/show/59752240-the-three-of-us,The Three of Us,Ore Agbaje-Williams,Fiction,N/A,2.95,"6,361","May 16, 2023",192,410,22.4k
618,596,https://www.goodreads.com/book/show/61984801-wildflower,Wildflower: A Memoir,Aurora James,Memoir,English,4.32,958,"May 9, 2023",304,84,"7,715"
619,596,https://www.goodreads.com/book/show/58349243-all-night-pharmacy,All-Night Pharmacy,Ruth Madievsky,Fiction,English,3.51,"6,591","July 11, 2023",304,371,36k
620,596,https://www.goodreads.com/book/show/65974903-foxed,Foxed,Jay Hogan,M M Romance,English,4.17,"1,886","January 12, 2023",323,259,779
621,596,https://www.goodreads.com/book/show/61069650-a-tall-dark-trouble,A Tall Dark Trouble,Vanessa Montalban,Fantasy,English,4.13,315,"August 29, 2023",384,30,14.1k
622,596,https://www.goodreads.com/book/show/95277332-the-last-bookwanderer,The Last Bookwanderer,Anna James,Fantasy,English,4.25,792,"September 14, 2023",320,50,"1,195"
623,596,https://www.goodreads.com/book/show/140200356-enough,Enough,Cassidy Hutchinson,Nonfiction,English,4.30,"17,351","September 26, 2023",379,"3,198","6,204"
624,596,https://www.goodreads.com/book/show/90219918-shadows-at-dusk,Shadows at Dusk,Elizabeth Goddard,Suspense,English,4.36,820,"October 1, 2023",352,60,"3,678"
625,596,https://www.goodreads.com/book/show/62061497-everyone-on-this-train-is-a-suspect,Everyone on This Train Is a Suspect,Benjamin Stevenson,Mystery,English,3.85,"51,838","October 17, 2023",336,"4,158",108k
626,596,https://www.goodreads.com/book/show/154366775-a-song-of-chaos,A Song of Chaos,C.C. Davie,Fantasy,English,4.83,41,"January 1, 2024",Kindle Edition,12,701
627,596,https://www.goodreads.com/book/show/61144963-promise-boys,Promise Boys,Nick Brooks,Mystery,N/A,3.97,"7,823","January 31, 2023",400,434,25.3k
628,596,https://www.goodreads.com/book/show/60594377-our-perfect-murder,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
629,596,https://www.goodreads.com/book/show/141275671-the-throne-of-broken-gods,The Throne of Broken Gods,Amber V. Nicole,Fantasy,English,4.22,"41,021","May 18, 2023",619,"6,712",59.2k
630,596,https://www.goodreads.com/book/show/198483602-azriel,Azriel,Julie Mannino,M M Romance,English,4.00,43,"October 1, 2023",115,3,184
631,596,https://www.goodreads.com/book/show/62583508-talking-at-night,Talking at Night,Claire Daverley,Romance,English,3.95,"42,026","June 6, 2023",400,"3,041",119k
632,596,https://www.goodreads.com/book/show/198542200-outdrawn,Outdrawn,Deanna Grey,Romance,English,4.19,"4,320","November 17, 2023",328,907,13.1k
633,596,https://www.goodreads.com/book/show/125484660-the-pole,The Pole,J.M. Coetzee,Fiction,English,3.68,"4,023","September 19, 2023",166,195,"7,138"
634,596,https://www.goodreads.com/book/show/201043783-never-plan-a-billionaire-s-wedding,Never Plan a Billionaire's Wedding,Julia Kent,Romance,English,4.17,534,"November 28, 2023",258,276,"5,652"
635,596,https://www.goodreads.com/book/show/62982170-wild-geese,Wild Geese,Soula Emmanuel,Fiction,English,3.86,627,"March 30, 2023",240,58,"3,151"
636,596,https://www.goodreads.com/book/show/196226291-he-s-not-my-type,He's Not My Type,Meghan Quinn,Romance,English,4.26,"65,268","November 28, 2023",394,"9,506",32.6k
637,596,https://www.goodreads.com/book/show/60784675-menewood,Menewood,Nicola Griffith,Historical Fiction,English,4.47,"1,081","October 3, 2023",720,335,"6,640"
638,596,https://www.goodreads.com/book/show/79997116-kabalista,Kabalista,Remigiusz Mróz,Audiobook,Polish,3.70,"1,758","February 8, 2023",480,44,699
639,596,https://www.goodreads.com/book/show/58663472-godly-heathens,Godly Heathens,H.E. Edgmon,Fantasy,English,3.81,"1,677","November 28, 2023",400,126,18.9k
640,596,https://www.goodreads.com/book/show/62558851-homebodies,Homebodies,Tembe Denton-Hurst,Fiction,English,3.31,"4,854","May 2, 2023",320,440,35.3k
641,596,https://www.goodreads.com/book/show/134754338-derring-do-for-beginners,Derring-Do for Beginners,Victoria Goddard,Fantasy,English,4.52,460,"April 16, 2023",385,31,477
642,596,https://www.goodreads.com/book/show/203986087-ik-ben-hier-niet-om-f-cking-couscous-te-eten,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
643,596,https://www.goodreads.com/book/show/173509030-judgement-at-tokyo,Judgement at Tokyo: World War II on Trial and the Making of Modern Asia,Gary J. Bass,History,English,4.28,"1,003","October 3, 2023",1387,797,10.3k
644,596,https://www.goodreads.com/book/show/123209437-monica,Monica,Daniel Clowes,Graphic Novels,English,3.93,"4,434","October 1, 2023",106,153,"5,501"
645,596,https://www.goodreads.com/book/show/59421138-catch-her-death,Catch Her Death,Melinda Leigh,Mystery,English,4.52,"15,823","September 12, 2023",304,"2,959","6,802"
646,596,https://www.goodreads.com/book/show/63141930-the-once-and-future-sex,The Once and Future Sex: Going Medieval on Women's Roles in Society,Eleanor Janega,Nonfiction,English,4.06,"2,167","January 17, 2023",260,376,11.2k
647,596,https://www.goodreads.com/book/show/123167557-please-tell-me,Please Tell Me,Mike Omer,Thriller,English,4.15,"27,671","November 7, 2023",379,"7,469",25k
648,596,https://www.goodreads.com/book/show/98653877-the-oceans-and-the-stars,The Oceans and the Stars,Mark Helprin,Fiction,English,4.46,"2,235","October 3, 2023",512,493,"7,745"
649,596,https://www.goodreads.com/book/show/74951746-absolutely-and-forever,Absolutely and Forever,Rose Tremain,Fiction,English,3.88,"4,491","September 21, 2023",177,329,"3,090"
650,596,https://www.goodreads.com/book/show/76021730-pirates-of-the-slave-trade,Pirates of the Slave Trade: The Battle of Cape Lopez and the Birth of an American Institution,Angela C. Sutton,History,English,3.86,44,"December 15, 2023",264,13,"2,922"
651,596,https://www.goodreads.com/book/show/63019896-in-this-moment,In This Moment,Gabrielle Meyer,Historical Fiction,English,4.47,"4,374","May 2, 2023",416,205,"7,802"
652,596,https://www.goodreads.com/book/show/60784614-cobalt-red,Cobalt Red: How the Blood of the Congo Powers Our Lives,Siddharth Kara,Nonfiction,English,4.37,"10,874","January 31, 2023",288,259,"8,336"
653,596,https://www.goodreads.com/book/show/200727928-die-wei-e-iris,Die Weiße Iris,Fabcaro,Bande Dessinée,German,3.82,"3,715","October 26, 2023",48,43,317
654,596,https://www.goodreads.com/book/show/123276269-burned-dreams,Burned Dreams,Neva Altaj,Romance,English,3.88,"26,382","July 1, 2023",290,"2,210",16.7k
655,596,https://www.goodreads.com/book/show/199516833-how-often-do-you-think-about-the-roman-empire,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
656,596,https://www.goodreads.com/book/show/197491143-artificial-wisdom,Artificial Wisdom,Thomas R. Weaver,Science Fiction,English,4.03,"3,771","May 10, 2023",433,459,25.6k
657,596,https://www.goodreads.com/book/show/126865827-lyric-book,Lyric Book,Ichiko Aoba,Poetry,English,4.76,21,"March 27, 2023",153,3,54
658,596,https://www.goodreads.com/book/show/152572611-stolen-hearts,Stolen Hearts,Eliza Lentzski,Audiobook,English,4.59,543,"May 16, 2023",290,75,126
659,596,https://www.goodreads.com/book/show/62318761-the-girl-in-the-woods,The Girl in the Woods,Kristen Ashley,Romance,English,4.25,"4,016","March 21, 2023",386,464,"1,626"
660,661,https://www.goodreads.com/book/show/97251404-troping-through-the-snow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
661,661,https://www.goodreads.com/book/show/61102577-strangers-in-the-night,Strangers in the Night,Heather Webb,Historical Fiction,English,3.85,"1,401","March 21, 2023",432,241,"9,879"
662,661,https://www.goodreads.com/book/show/61089457-culture,"Culture: The Story of Us, From Cave Art to K-Pop",Martin Puchner,History,English,3.83,479,"February 7, 2023",384,104,"2,058"
663,661,https://www.goodreads.com/book/show/60784640-africatown,Africatown: America's Last Slave Ship and the Community It Created,Nick Tabor,History,English,4.13,369,"February 21, 2023",384,68,"4,827"
664,661,https://www.goodreads.com/book/show/61145046-reef-road,Reef Road,Deborah Goodrich Royce,Mystery,English,3.53,"2,075","January 10, 2023",320,144,26.9k
665,661,https://www.goodreads.com/book/show/62358270-conquest,Conquest,Nina Allan,Science Fiction,English,3.60,267,"May 11, 2023",320,24,"1,243"
666,661,https://www.goodreads.com/book/show/75592530-we-will-reign,We Will Reign,Rachel Leigh,Reverse Harem,English,3.73,"3,813","March 10, 2023",271,"1,693",10.6k
667,661,https://www.goodreads.com/book/show/62874014-the-wolf-hunt,The Wolf Hunt,Ayelet Gundar-Goshen,Fiction,English,4.06,"3,127","December 5, 2021",288,163,"6,588"
668,661,https://www.goodreads.com/book/show/62564011-this-is-where-it-ends,This Is Where It Ends: A Novel,Cindy K. Sproles,Historical Fiction,English,4.19,658,"June 1, 2023",288,63,"5,960"
669,661,https://www.goodreads.com/book/show/123987259-city-of-souls-and-sinners,City of Souls and Sinners,Kayla Edwards,Fantasy,English,4.17,"5,657","February 21, 2023",680,"3,046",21.2k
670,661,https://www.goodreads.com/book/show/63912084-black-lies,Black Lies,Mercedes Mercier,Crime,English,4.28,572,"June 7, 2023",320,7,350
671,661,https://www.goodreads.com/book/show/61613272-period,Period: The Real Story of Menstruation,Kate Clancy,Nonfiction,English,3.93,744,"April 11, 2023",249,147,"5,848"
672,661,https://www.goodreads.com/book/show/145616869-the-art-of-husbandry,The Art of Husbandry,Jay Hogan,M M Romance,English,4.40,"1,798","June 1, 2023",402,319,"2,744"
673,661,https://www.goodreads.com/book/show/60784443-rubicon,Rubicon,J.S. Dewes,Science Fiction,English,3.93,"2,157","March 28, 2023",469,167,"7,208"
674,661,https://www.goodreads.com/book/show/198006389-thieves-gambit,Thieves' Gambit,Kayvion Lewis,Young Adult,Danish,3.87,"11,977","September 26, 2023",397,838,53.1k
675,661,https://www.goodreads.com/book/show/94020345-house-of-longing,House of Longing,Tara Calaby,Historical Fiction,English,3.86,110,"May 30, 2023",416,6,500
676,661,https://www.goodreads.com/book/show/161132744-plus-two,Plus Two,Jillian West,Omegaverse,N/A,4.15,"6,142","May 27, 2023",386,"1,431","1,559"
677,661,https://www.goodreads.com/book/show/62192405-revolutionary-spring,"Revolutionary Spring: Europe Aflame and the Fight for a New World, 1848-1849",Christopher Clark,History,English,4.19,707,"April 27, 2023",1152,454,"8,546"
678,661,https://www.goodreads.com/book/show/182102484-and-in-between,And In-Between,Julie Mannino,Fantasy,English,3.99,106,"September 3, 2023",ebook,16,150
679,661,https://www.goodreads.com/book/show/63354443-cloak-of-scarlet,Cloak of Scarlet,Melanie Dickerson,Historical Fiction,English,4.01,969,"August 15, 2023",336,56,"4,333"
680,661,https://www.goodreads.com/book/show/75571237-the-twelve-books-of-christmas,The Twelve Books of Christmas,Kate Carlisle,Mystery,English,3.86,"2,189","October 24, 2023",336,244,"2,138"
681,661,https://www.goodreads.com/book/show/137167514-bli-hos-meg,Bli hos meg,Hanne Ørstavik,Fiction,Norwegian,3.59,128,"January 1, 2023",211,25,409
682,661,https://www.goodreads.com/book/show/193898666-heart-of-night-and-fire,Heart of Night and Fire,Nisha J. Tuli,Fantasy,English,3.90,"2,890","September 15, 2023",370,"1,004",12.4k
683,661,https://www.goodreads.com/book/show/63905241-blood-steel,Blood & Steel,Helen Scheuerer,Fantasy,English,4.21,"39,757","February 13, 2023",550,"7,968",123k
684,661,https://www.goodreads.com/book/show/60714138-and-then-he-sang-a-lullaby,And Then He Sang a Lullaby,Ani Kayode Somtochukwu,Fiction,English,4.15,928,"June 6, 2023",304,62,"8,261"
685,661,https://www.goodreads.com/book/show/61420112-once-more-with-feeling,Once More with Feeling,Elissa Sussman,Romance,English,3.56,"27,969","May 30, 2023",416,792,63.5k
686,661,https://www.goodreads.com/book/show/61948983-hotel-laguna,Hotel Laguna,Nicola Harrison,Historical Fiction,English,3.80,"3,012","June 20, 2023",304,118,19.7k
687,661,https://www.goodreads.com/book/show/202120826-magdalene-nox,Magdalene Nox,Milena McKay,Lesbian,English,4.57,"1,145","November 16, 2023",450,173,513
688,661,https://www.goodreads.com/book/show/74827412-an-honest-man,An Honest Man,Michael Koryta,Thriller,English,4.11,"4,289","July 25, 2023",385,310,"7,703"
689,661,https://www.goodreads.com/book/show/61783327-the-daughters-of-madurai,The Daughters of Madurai,Rajasree Variyar,Historical Fiction,English,4.09,"5,350","February 28, 2023",336,549,15.8k
690,661,https://www.goodreads.com/book/show/124935969-glow-of-the-everflame,Glow of the Everflame,Penn Cole,Fantasy,English,4.38,"82,454","July 18, 2023",637,"7,757",59.5k
691,661,https://www.goodreads.com/book/show/184470846-silent-lies,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
692,693,https://www.goodreads.com/book/show/75585230-transcendent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
693,693,https://www.goodreads.com/book/show/61151461-everything-is-just-beginning,Everything Is Just Beginning: A Novel,Erin Bartels,Historical Fiction,English,4.12,527,"January 17, 2023",352,41,"4,181"
694,693,https://www.goodreads.com/book/show/61039214-monkey-prince-vol-1,Monkey Prince Vol. 1: Enter the Monkey,Gene Luen Yang,Comics,English,3.66,261,"January 24, 2023",144,9,158
695,693,https://www.goodreads.com/book/show/127593128-the-last-language,The Last Language,Jennifer duBois,Fiction,English,3.71,390,"October 17, 2023",240,31,"1,353"
696,693,https://www.goodreads.com/book/show/63130875-between-commitment-and-betrayal,Between Commitment and Betrayal,Shain Rose,Romance,English,3.76,"41,853","March 23, 2023",384,11.5k,68.2k
697,693,https://www.goodreads.com/book/show/72092843-hungry-ghosts,Hungry Ghosts,Kevin Jared Hosein,Historical Fiction,English,3.83,"2,189","February 7, 2023",13,310,14.1k
698,693,https://www.goodreads.com/book/show/61280566-night-angel-nemesis,Night Angel Nemesis,Brent Weeks,Fantasy,English,4.05,"5,108","April 25, 2023",838,"1,135",12.9k
699,693,https://www.goodreads.com/book/show/64631561-the-many-lives-of-mama-love,"The Many Lives of Mama Love: A Memoir of Lying, Stealing, Writing, and Healing",Lara Love Hardin,Memoir,English,4.46,"65,238","August 1, 2023",319,"2,941",88.1k
700,693,https://www.goodreads.com/book/show/93864968-where-i-slept,Where I Slept,Libby Angel,Fiction,English,3.20,79,"May 30, 2023",304,5,194
701,693,https://www.goodreads.com/book/show/62562854-will-they-or-won-t-they,Will They or Won't They,Ava Wilder,Romance,English,3.58,"17,853","June 27, 2023",384,538,88.1k
702,693,https://www.goodreads.com/book/show/155693024-the-mechanics-of-lust,The Mechanics of Lust,Jay Hogan,M M Romance,English,4.36,"1,253","October 19, 2023",387,158,515
703,693,https://www.goodreads.com/book/show/197351497-the-passing-of-the-dragon,The Passing of the Dragon,Ken Liu,Fantasy,English,4.10,720,"September 13, 2023",46,33,"1,810"
704,693,https://www.goodreads.com/book/show/58651856-foxglove,Foxglove,Adalyn Grace,Fantasy,English,4.14,"49,551","August 22, 2023",465,"4,174",101k
705,693,https://www.goodreads.com/book/show/62987364-the-mystery-at-dunvegan-castle,The Mystery at Dunvegan Castle,T.L. Huchu,Fantasy,English,3.92,"1,984","July 27, 2023",389,118,"2,842"
706,693,https://www.goodreads.com/book/show/176611956-the-call-of-the-sea,The Call of the Sea,Kate Schumacher,Fantasy,English,4.05,594,"August 5, 2023",516,323,10.5k
707,693,https://www.goodreads.com/book/show/63898964-stacey-s-mistake,Stacey's Mistake: A Graphic Novel,Ellen T. Crenshaw,Graphic Novels,English,4.16,"2,494","October 3, 2023",160,427,"1,756"
708,693,https://www.goodreads.com/book/show/63241097-murder-in-the-family,Murder in the Family,Cara Hunter,Mystery,English,3.74,"41,824","July 20, 2023",466,"3,775",96.3k
709,693,https://www.goodreads.com/book/show/62103336-maniac,Maniac,Onley James,M M Romance,English,4.16,"6,744","February 16, 2023",267,329,"2,375"
710,693,https://www.goodreads.com/book/show/195077265-warrior-king,Warrior King,Eden Winters,Fantasy,English,4.05,369,"August 25, 2023",336,68,326
711,693,https://www.goodreads.com/book/show/57580217-confidence,Confidence,Rafael Frumkin,Fiction,English,3.61,"1,696","March 7, 2023",320,111,13.3k
712,693,https://www.goodreads.com/book/show/61273815-tasting-history,"Tasting History: Explore the Past through 4,000 Years of Recipes",Max Miller,Cookbooks,English,4.38,"1,205","April 18, 2023",256,618,"4,505"
713,693,https://www.goodreads.com/book/show/75593498-the-hexologists,The Hexologists,Josiah Bancroft,Fantasy,English,3.80,"5,346","September 26, 2023",313,866,26.6k
714,693,https://www.goodreads.com/book/show/62611204-he-should-have-told-the-bees,He Should Have Told the Bees,Amanda Cox,Christian Fiction,English,4.03,"3,213","August 1, 2023",336,215,10.2k
715,693,https://www.goodreads.com/book/show/62058590-a-winter-grave,A Winter Grave,Peter May,Crime,English,4.08,"8,191","January 19, 2023",368,873,"2,396"
716,693,https://www.goodreads.com/book/show/61346151-the-white-lady,The White Lady,Jacqueline Winspear,Historical Fiction,English,4.07,"18,220","March 21, 2023",321,"2,151",18k
717,693,https://www.goodreads.com/book/show/124949132-the-second-chance-year,The Second Chance Year,Melissa Wiesner,Romance,English,3.98,"13,106","December 5, 2023",328,618,29.4k
718,693,https://www.goodreads.com/book/show/123471760-spark-of-the-everflame,Spark of the Everflame,Penn Cole,Fantasy,English,4.21,"103,390","January 1, 2023",438,18.3k,287k
719,693,https://www.goodreads.com/book/show/206720687-n-dv-ndigt-ont,Nödvändigt ont,Maria Adolfsson,Crime,Swedish,3.79,743,"February 14, 2023",349,16,178
720,721,https://www.goodreads.com/book/show/61839163-taken,Taken,Dinuka McKenzie,Crime,English,3.98,"1,534","February 1, 2023",327,81,"1,255"
721,721,https://www.goodreads.com/book/show/61423847-ana-mar-a-and-the-fox,Ana María and the Fox,Liana De la Rosa,Romance,English,3.46,"6,693","April 1, 2023",352,346,23.1k
722,721,https://www.goodreads.com/book/show/65113313-strange-and-difficult-times,Strange and Difficult Times: Notes on a Global Pandemic,Nanjala Nyabola,Africa,English,4.18,17,"February 1, 2023",224,2,87
723,721,https://www.goodreads.com/book/show/63839542-the-good-the-bad-and-the-history,"The Good, the Bad and the History",Jodi Taylor,Time Travel,English,4.65,"4,232","June 22, 2023",478,417,"1,691"
724,721,https://www.goodreads.com/book/show/61885057-while-you-were-out,While You Were Out: An Intimate Family Portrait of Mental Illness in an Era of Silence,Meg Kissinger,Nonfiction,English,4.28,"12,573","September 5, 2023",320,"1,204",61.3k
725,721,https://www.goodreads.com/book/show/175687620-my-f-cked-up-paradise,My F*cked Up Paradise,J.B. Salsbury,Romance,English,4.16,412,"June 12, 2023",386,80,267
726,721,https://www.goodreads.com/book/show/65212010-death-is-my-bff,Death is My BFF,Katarina E. Tonks,Fantasy,English,4.25,"4,004","July 6, 2011",384,355,11.8k
727,721,https://www.goodreads.com/book/show/112975117-astor,Astor: The Rise and Fall of an American Fortune,Anderson Cooper,Nonfiction,English,3.77,"14,748","September 19, 2023",322,"2,797",24.9k
728,721,https://www.goodreads.com/book/show/62952130-the-vaster-wilds,The Vaster Wilds,Lauren Groff,Historical Fiction,English,3.76,"35,400","May 16, 2016",272,"3,176",78.3k
729,721,https://www.goodreads.com/book/show/105735487-normal-rules-don-t-apply,Normal Rules Don't Apply,Kate Atkinson,Short Stories,English,3.70,"8,475","September 13, 2023",240,979,13.5k
730,721,https://www.goodreads.com/book/show/61783761-carmageddon,Carmageddon: How Cars Make Life Worse and What to Do About It,Daniel Knowles,Nonfiction,English,4.28,760,"March 28, 2023",256,100,"2,796"
731,721,https://www.goodreads.com/book/show/75384035-the-ever-king,The Ever King,L.J. Andrews,Fantasy,English,4.17,"55,661","July 19, 2023",408,18.8k,142k
732,721,https://www.goodreads.com/book/show/199127800-blood-in-the-machine,Blood in the Machine: The Origins of the Rebellion Against Big Tech,Brian Merchant,History,English,4.14,940,"May 30, 2023",16,324,"6,284"
733,721,https://www.goodreads.com/book/show/60376658-the-memory-eater,The Memory Eater,Rebecca Mahoney,Fantasy,English,3.82,429,"March 14, 2023",336,21,"4,908"
734,721,https://www.goodreads.com/book/show/61140753-a-match-in-the-making,A Match in the Making,Jen Turano,Romance,English,4.18,"2,371","February 21, 2023",358,164,"6,148"
735,721,https://www.goodreads.com/book/show/60410729-we-should-not-be-friends,We Should Not Be Friends: The Story of a Friendship,Will Schwalbe,Memoir,English,3.89,"2,727","February 21, 2023",336,244,11.4k
736,721,https://www.goodreads.com/book/show/64627957-the-library-of-shadows,The Library of Shadows,Rachel Moore,Fantasy,English,3.57,"4,229","September 5, 2023",366,331,24.7k
737,721,https://www.goodreads.com/book/show/61399137-the-house-on-mulberry-street,The House on Mulberry Street,Jeannie Chin,Romance,English,3.89,210,"March 7, 2023",359,19,"3,066"
738,721,https://www.goodreads.com/book/show/159948922-state-of-denial,State of Denial,Marie Force,Romance,English,4.65,"3,566","August 25, 2023",354,"1,273",314
739,721,https://www.goodreads.com/book/show/187859241-the-putin-files,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
740,721,https://www.goodreads.com/book/show/101135695-soldier-of-destiny,"Soldier of Destiny: Slavery, Secession, and the Redemption of Ulysses S. Grant",John Reeves,History,English,3.76,88,"December 5, 2023",289,9,359
741,721,https://www.goodreads.com/book/show/75293535-the-paris-mystery,The Paris Mystery,Kirsty Manning,Mystery,English,3.42,"1,825","August 8, 2023",320,160,13.3k
742,743,https://www.goodreads.com/book/show/75609755-candy-for-my-orc-boss,Candy for My Orc Boss,Ava Ross,Romance,English,3.90,"3,481","January 13, 2023",194,818,"1,099"
743,743,https://www.goodreads.com/book/show/59882911-manifest,Manifest,Brittany Cavallaro,Fantasy,English,3.59,152,"January 17, 2023",384,8,"3,539"
744,743,https://www.goodreads.com/book/show/75593884-the-museum-of-failures,The Museum of Failures,Thrity Umrigar,Fiction,English,4.12,"11,270","September 26, 2023",358,863,25.5k
745,743,https://www.goodreads.com/book/show/62874038-before-she-finds-me,Before She Finds Me,Heather Chavez,Thriller,English,3.82,"3,634","June 27, 2023",352,139,13.5k
746,743,https://www.goodreads.com/book/show/88824822-in-the-beginning,In The Beginning,Simon Edge,Politics,English,4.26,61,"January 1, 2023",355,4,73
